facility_name,facility_code,state_abbr,county_fips,county_name,unusual_flag,unusual_type,notes
BISHOP HENRY WHIPPLE FED BLDG,SPMHOLD,MN,,,TRUE,hold_room,
BLUEBONNET DET FCLTY,BLBNATX,TX,,,,,
BOISE HOLD ROOM,BOIHOLD,ID,,,TRUE,hold_room,
BONNEVILLE CO. JAIL,BONNEID,ID,,,,,
BOONE COUNTY JAIL,BOONEKY,KY,,,,,
BOSQUE COUNTY SHERIFF'S DEPT.,BSQUETX,TX,,,,,
BOSSIER PARISH COR. CENTER,BOSSRLA,LA,,,,,
BOSTON HOLDROOM,BOSHOLD,MA,,,TRUE,hold_room,
BOSTON SPC,BPC,MA,,,,,
BOTTINEAU CO. ND JAIL,BOTTIND,ND,,,,,
BRADENTON DETENTION CENTER,BRADEFL,FL,,,,,
BRADFORD COUNTY JAIL,BRDFDFL,FL,,,,,
"BRANCH CO, COLDWATER, MI",BRANCMI,MI,,,,,
"BREMER CO JAIL, IOWA",BREMEIA,IA,,,,,
BREVARD CORRECTIONAL,FLBREVC,FL,,,,,
BRISTOL CNTY NDARTMOUTH,BRINDMA,MA,,,,,
BROADVIEW SERVICE STAGING,BSAHOLD,IL,,,TRUE,hold_room,
BRONSON HOSPITAL FIELDSTONE CENTER,BHFLDMI,MI,,,TRUE,hospital,
BRONXCARE HEALTH SYSTEM,BXCHSNY,NY,,,TRUE,hospital,
BROOKLYN MDC,BOPBRO,NY,,,,,
BROOKS COUNTY JAIL (CONTRACT),BROKSTX,TX,,,,,
BROOME COUNTY JAIL,BROMMNY,NY,,,,,
BROWARD CORRECTIONAL,BROCRFL,FL,,,,,
BROWARD COUNTY JAIL,BROJAFL,FL,,,,,
BROWARD GENERAL MEDICAL CENTER,BRGMCFL,FL,,,TRUE,hospital,
BROWARD TRANSITIONAL CENTER,WCCPBFL,FL,,,,,
BROWN COUNTY JAIL,BROWNSD,SD,,,,,
BROWN COUNTY JAIL,BROWNWI,WI,,,,,
BROWNSVILLE POLICE DEPT.,BRWNSTX,TX,,,,,
BRUSH HOLDROOM,BRCHOLD,CO,,,TRUE,hold_room,
BSCC AIRPARK UNIT,BSCORTX,TX,,,,,
BSCC FLIGHTLINE UNIT,BSFLTTX,TX,,,,,
"BUFFALO CF, ALDEN,NY",NYBUFFC,NY,,,,,
BUFFALO HOLD ROOM,BUFHOLD,NY,,,TRUE,hold_room,
BUFFALO SPC,BTV,NY,,,,,
"BURLEIGH CO. JAIL, ND",BURLEND,ND,,,,,
BURNET COUNTY JAIL,BURNETX,TX,,,,,
BUTLER COUNTY JAIL,BUTLEKS,KS,,,,,
BUTLER COUNTY JAIL,BUTLEOH,OH,,,,,
BWATER ST HOSP BRIDGEWATE,MABSHOS,MA,,,TRUE,hospital,
"BYRD'S FOSTER GROUP HOME, INC",BFGHITX,TX,,,,,
CABARRUS COUNTY JAIL,CBRRSNC,NC,,,,,
CACHE CO. JAIL,CACHEUT,UT,,,,,
CALDWELL COUNTY JAIL,CALDWMO,MO,,,,,
"CALHOUN CO., BATTLE CR,MI",CALHOMI,MI,,,,,
"CALIF. MEN COLONY, EAST",CAMENCE,CA,,,,,
"CALIF. MEN COLONY, WEST",CAMENCW,CA,,,,,
CALIFORNIA CITY CORECTIONS CENTER,CACTYCA,CA,,,,,
"CAMBRIA COUNTY JAIL, PA",CAMBRPA,PA,,,,,
CAMERON COUNTY JAIL,CAMERTX,TX,,,,,
CARBON COUNTY CORRECTIONL,CARBOPA,PA,,,,,
CAROLINE DETENTION FACILITY,CARDFVA,VA,,,,,
CARROLL COUNTY DETENTION CENTER,CARROMD,MD,,,,,
CARVER CO. JUVY DETENTION,CAJUVMN,MN,,,,,
CARVER COUNTY JAIL,CARJAMN,MN,,,,,
CASA GRANDE REG. MED. CENTER,CGRMCAZ,AZ,,,TRUE,hospital,
CASA SAN JUAN,CASSJCA,CA,,,,,
"CASCADE COUNTY JAIL, MT",CASCAMT,MT,,,,,
CASEY HOUSE SHELTER,CSYJVNY,NY,,,,,
CASPER HOLDROOM,CSPHOLD,WY,,,TRUE,hold_room,
CASS COUNTY JAIL,CASSCND,ND,,,,,
CASS COUNTY JAIL,CASSCNE,NE,,,,,
CATAHOULA CORRECTIONAL CENTER,CATAHLA,LA,,,,,
CATTARAUGUS COUNTY JAIL,CATTANY,NY,,,,,
CAYUGA COUNTY JAIL,CAYUGNY,NY,,,,,
CCA CENT.AZ.DET.CTR.,CCADCAZ,AZ,,,,,
CCA NORTHEAST OH CORRECTS,CCANOOH,OH,,,,,
"CCA, FLORENCE CORRECTIONAL CENTER",CCAFLAZ,AZ,,,,,
CCF/LEO CHESNEY,CACFLEO,CA,,,,,
CDC CALIPATRIA IHP,CADCCAL,AL,,,,,
CEDAR CREST HOSP TREAT,CCHRTTX,TX,,,TRUE,hospital,
CEDAR RAPIDS HOLD ROOM,CRIHOLD,IA,,,TRUE,hold_room,
CEDARS MEDICAL CENTER,CEMEDFL,FL,,,TRUE,hospital,
CENTEGRA HOSPITAL,CNTGRIL,IL,,,TRUE,hospital,
CENTRA SOUTHSIDE COMM HOSP,CSSCHVA,VA,,,TRUE,hospital,
CENTRAL ARIZONA MEDICAL,CAMEDAZ,AZ,,,TRUE,hospital,
CENTRAL ISLIP HOLD ROOM,CIPHOLD,NY,,,TRUE,hold_room,
CENTRAL LOUISIANA ICE PROC CTR,JENADLA,LA,,,,,
CENTRAL TEXAS DETENTION FACILITY,WACLATX,TX,,,,,
CENTRAL VA REGIONAL JAIL,CVREGVA,VA,,,,,
CENTRO MEDICO HOSPITAL,CMEDHPR,PR,,,TRUE,hospital,
CHAMPLAIN HOLD ROOM,CHMHOLD,NY,,,TRUE,hold_room,
CHANDLER REG MED CTR,CHANRAZ,AZ,,,TRUE,hospital,
CHARLESTON COUNTY CORRECT,CHARLSC,SC,,,,,
"CHARLESTON, SC HOLD ROOM",CHLHOLD,SC,,,TRUE,hold_room,
CHARLOTTE AMALIE HOLDROOM,CHAHOLD,VI,,,TRUE,hold_room,
CHARLOTTE COUNTY JAIL,CHRLTFL,FL,,,,,
CHARLOTTE HOLD ROOM,CLTHOLD,NC,,,TRUE,hold_room,
CHASE COUNTY JAIL,CHASEKS,KS,,,,,
CHASE STE HOTEL ELP,CSHEPTX,TX,,,TRUE,hotel_motel,
CHATHAM CO JAIL,CHATHGA,GA,,,,,
CHATTANOOGA HOLD ROOM,CNGHOLD,TN,,,TRUE,hold_room,
CHAUTAUQUA COUNTY JAIL,CHACONY,NY,,,,,
CHAVEZ DET CRT,CHAVENM,NM,,,,,
CHELAN CO. REGIONAL JAIL,CHELAWA,WA,,,,,
CHEMUNG COUNTY JAIL,CHEMUNY,NY,,,,,
CHENANGO COUNTY JAIL,CHENANY,NY,,,,,
CHEROKEE COUNTY JAIL,CHEROOK,OK,,,,,
CHESTERFIELD CO. JAIL,CHFLDVA,VA,,,,,
CHEYENNE HOLDROOM,CHYHOLD,WY,,,TRUE,hold_room,
CHI HEALTH MERCY COUNCIL BLUFFS,CHIHMIA,IA,,,TRUE,hospital,
CHI ST LUKE'S HEALTH MEM,CHISLTX,TX,,,TRUE,hospital,
CHICAGO HOLD ROOM,CHIHOLD,IL,,,TRUE,hold_room,
"CHIPPEWA CO., SSM",CHIPPMI,MI,,,,,
CHITTENDEN REG. COR. FACILITY,VTCHTDN,VT,,,,,
CHRISTIAN CO SHERIFF DEPT,CHRISMO,MO,,,,,
CHRISTUS SPOHN HOSP CC - SOUTH,CCCSSTX,TX,,,TRUE,hospital,
CIBOLA COUNTY CORRECTIONAL CENTER,CIBOCNM,NM,,,,,
CIBOLA COUNTY DET CTR,CIBOLNM,NM,,,,,
CINCINNATI HOLDROOM,CINHOLD,OH,,,TRUE,hold_room,
CLAY COUNTY JUSTICE CENTER,CLAYCIN,IN,,,,,
CLEVELAND HOLD ROOM,CLEHOLD,OH,,,TRUE,hold_room,
CLINTON COUNTY CORR. FAC.,CLINTPA,PA,,,,,
CLINTON COUNTY JAIL,CLICONY,NY,,,,,
COASTAL BEND DET. FACILITY,CBENDTX,TX,,,,,
COBB CO SHERIFFS OFC ADULT DET CTR,COBBJGA,GA,,,,,
COCHISE CO JAIL BISBEE AZ,COCHIAZ,AZ,,,,,
COCONINO CO DETENTION FACILITY,COCONAZ,AZ,,,,,
COLLIER COUNTY SHERIFF,COLLIFL,FL,,,,,
COLO SPRINGS DEN HSI HOLD,CSDHOLD,CO,,,TRUE,hold_room,
COLUMBIA CARE CENTER,COLCASC,SC,,,,,
COLUMBIA COUNTY JAIL,COLUMFL,FL,,,,,
COLUMBIA COUNTY JAIL,COLUMOR,OR,,,,,
COLUMBIA COUNTY JAIL,COLUMPA,PA,,,,,
"COLUMBIA, SC HOLDROOM",COAHOLD,SC,,,TRUE,hold_room,
COLUMBUS HOLDROOM,CLMHOLD,OH,,,TRUE,hold_room,
COMFORT INN STE ELP AIRP,CISAETX,TX,,,TRUE,hotel_motel,
COMFORT SUITES ALEXANDRIA,CSANOLA,LA,,,TRUE,hotel_motel,
COMFORT SUITES CASA CONSUELO,CISEPTX,TX,,,TRUE,hotel_motel,
COMFORT SUITES HOTEL,COMFTFL,FL,,,TRUE,hotel_motel,
COMMONWEALTH HEALTHCARE CORP,CWHCCMP,MP,,,TRUE,hospital,
COMMUNITY REG MED CENTER,CRMCFCA,CA,,,TRUE,hospital,
COMPASS HOUSE SHELTER,CMPJVNY,NY,,,,,
CONCORDIA PARISH C C,CONCOLA,LA,,,,,
CONEJOS COUNTY JAIL,CONEJCO,CO,,,,,
CONTRA COSTA CO JAIL/WEST,CONWECA,CA,,,,,
CONTRA COSTA CO. JAIL,CONCOCA,CA,,,,,
COOK COUNTY HOSPITAL-JHS,CCHHSIL,IL,,,TRUE,hospital,
"COOK INLET PRETRIAL, ANCH",AKCOOKI,AK,,,,,
COOS CO. JAIL,COOSCOR,OR,,,,,
COOS COUNTY JAIL,COOCONH,NH,,,,,
CORPUS CHRISTI EOR HOLD ROOM,CRPHOLD,TX,,,TRUE,hold_room,
COSTA MESA COLLEGE HOSP,COSTACA,CA,,,TRUE,hospital,
COUNTY INN & STE BY RAD,CISPVLA,LA,,,TRUE,hotel_motel,
COURTHOUSE USM CNTL ISLIP,CHMCINY,NY,,,TRUE,courthouse,
COWLITZ CO. JUV. DET.,COWJVWA,WA,,,,,
CRAIG HOLDROOM,CRGHOLD,CO,,,TRUE,hold_room,
CROWNE PLAZA PHOENIX AP,CPPAPAZ,AZ,,,TRUE,hotel_motel,
CRYSTAL CITY CORR. CENTER,CRYCCTX,TX,,,,,
CSP-SACRAMENTO,CASPSAC,CA,,,,,
CULBERSON COUNTY SHERIFF'S,CULBETX,TX,,,,,
CULPEPER CO. ADULT DET. CENTER,CULPEVA,VA,,,,,
CUMBERLAND COUNTY JAIL,CUMBEME,ME,,,,,
CURRY COUNTY DET FAC,CURRYNM,NM,,,,,
D. RAY JAMES PRISON,GADRYJM,GA,,,,,
DADE CORRECTIONAL INST,FLDADCI,FL,,,,,
DAKOTA COUNTY JAIL,DAKOTNE,NE,,,,,
DALBY CORRECTIONAL INSTITUTE,BOPDAL,AL,,,,,
DALLAS COUNTY JAIL-LEW STERRETT,DALCOTX,TX,,,,,
DALLAS F.O. HOLD,DALHOLD,TX,,,TRUE,hold_room,
"DAUPHIN CNTY JAIL, PA",DAUPHPA,PA,,,,,
DAVIDSON CO. SHERIFF DEPT,DAVIDTN,TN,,,,,
DAWSON COUNTY JAIL,DAWSOMT,MT,,,,,
DAYS INN INNER HARBOR BALTIMORE,DIIHBMD,MD,,,TRUE,hotel_motel,
DC DEPT OF CORRECTIONS,DCDOCDC,DC,,,,,
DEARBORN POLICE DEPT.,DEAPDMI,MI,,,,,
DEKALB COUNTY DETENTION CENTER,DEKALAL,AL,,,,,
DEKALB COUNTY JAIL,DEKABGA,GA,,,,,
DEL RIO DRO HOLD ROOM,DLRHOLD,TX,,,TRUE,hold_room,
DELANEY HALL DETENTION FACILITY,DHDFNJ,NJ,,,,,
DELAWARE CO JAIL,DELAWPA,PA,,,,,
DELAWARE CORRECTION CENTER,DECCSMY,DE,,,,,
DENVER CDF II,DENIICO,CO,,,,,
DENVER CONTRACT DET. FAC.,DENICDF,CO,,,,,
DENVER COUNTY JAIL,DENVECO,CO,,,,,
DENVER HEALTH MEDICAL CENTER,DNHMCCO,CO,,,TRUE,hospital,
DENVER HOLD ROOM,DENHOLD,CO,,,TRUE,hold_room,
DEPARTMENT OF CORRECTIONS,DEPCOGU,GU,,,,,
DEPT OF CORRECTIONS-HAGATNA,GUDOCHG,GU,,,,,
DES MOINES HOLD ROOM,DSMHOLD,IA,,,TRUE,hold_room,
DESERT VALLEY HOSPITAL,DSRTVCA,CA,,,TRUE,hospital,
DESERT VIEW ANNEX,CADESVI,VI,,,,,
DESERT VIEW HOSPITAL,DVHSPNV,NV,,,TRUE,hospital,
DIMMIT REGIONAL HOSPITAL,DRHCSTX,TX,,,TRUE,hospital,
"DODGE CORR INSTITUTE, WAU",WIDODGE,WI,,,,,
"DODGE COUNTY JAIL, JUNEAU",DODGEWI,WI,,,,,
DONA ANA COUNTY DETENTION FACILITY,DONAANM,NM,,,,,
DORCHESTER CO DET CNTR,DORCHMD,MD,,,,,
DORCHESTER CO DET CTR,DORCDSC,SC,,,,,
DOUGLAS CO. JAIL,DOUGLOR,OR,,,,,
DOUGLAS CO. WISCONSIN,DOUGLWI,WI,,,,,
DOUGLAS COUNTY CORRECTION,DOCORNE,NE,,,,,
DOUGLAS COUNTY DETENTION CENTER,DOUGLCO,CO,,,,,
DOVER HOLDROOM,DVDHOLD,DE,,,TRUE,hold_room,
DRT CPC HOLDING,DRCPCTX,TX,,,TRUE,hold_room,
DRURY INN,DRURYCO,CO,,,TRUE,hotel_motel,
DRURY INN & STES SNA AP,DISSATX,TX,,,TRUE,hotel_motel,
DRURY INN STES PHO TEMPE,DISPTAZ,AZ,,,TRUE,hotel_motel,
DSMC - DEL SOL MEDICAL CENTER,DSMCNTX,TX,,,TRUE,hospital,
DULUTH HOLD ROOM,DULHOLD,MN,,,TRUE,hold_room,
DURANGO HOLDROOM,DURHOLD,CO,,,TRUE,hold_room,
EAGLE COUNTY JAIL,EAGLECO,CO,,,,,
EAST HIDALGO DETENTION CENTER,EHDLGTX,TX,,,,,
EAST MESA DETENT FACILITY,EMESACA,CA,,,,,
EASTERN C.F. NAPANOCH,NYEASTC,NY,,,,,
EASTERN REGIONAL JAIL,WVEASTR,WV,,,,,
ECONOLODGE MOTEL,ECOLOWA,WA,,,TRUE,hotel_motel,
ECTOR COUNTY L.E.C.,ECLECTX,TX,,,,,
ED FRASER MEMORIAL HOSPITAL,EFMHMFL,FL,,,TRUE,hospital,
EDDY COUNTY JAIL,EDDCONM,NM,,,,,
EDEN DET CTR HOLD ROOM,EDNHOLD,TX,,,TRUE,hold_room,
EDEN DETENTION CTR,EDNDCTX,TX,,,,,
EDEN HOLD ROOM,EDCHOLD,TX,,,TRUE,hold_room,
EDINBURG POLICE DEPT.,EDNBGTX,TX,,,,,
EGP CPC HOLDING,EPCPCTX,TX,,,TRUE,hold_room,
EL CENTRO SPC,ECC,CA,,,,,
EL PASO BEHAVIORAL HEALTH SYSTEM,EPBHSTX,TX,,,TRUE,hospital,
EL PASO COUNTY DETENTION FACILITY,EPCDFTX,TX,,,,,
EL PASO COUNTY JAIL (CO),ELPASCO,CO,,,,,
EL PASO COUNTY JAIL (TX),ELPCOTX,TX,,,,,
EL PASO LTAC HOSPITAL,EPLTATX,TX,,,TRUE,hospital,
EL PASO SPC,EPC,TX,,,,,
EL PASO SPC JUVENILE,EPCJUVI,VI,,,TRUE,juvenile_family,
EL VALLE DETENTION FACILITY,ELVDFTX,TX,,,,,
ELGIN POLICE DEPT. JAIL,ELGPDIL,IL,,,,,
ELIZABETH CONTRACT D.F.,ELZICDF,NJ,,,,,
ELKHART COUNTY JAIL,ELKHAIN,IN,,,,,
ELMORE COUNTY JAIL,ELMORID,ID,,,,,
ELOY FED CTR FACILITY (CORE CIVIC),EAZ,AZ,,,,,
EMBASSY STE HLTN NW I-10,ESHSATX,TX,,,TRUE,hotel_motel,
EMBASSY STE HLTN SNA AP,EMBSATX,TX,,,TRUE,hotel_motel,
EMBASSY SUITES BY HILTON,EMBCRNC,NC,,,TRUE,hotel_motel,
EMBASSY SUITES HOTEL,EMBSYCO,CO,,,TRUE,hotel_motel,
ENLOE MEDICAL CENTER,ENLMCCA,CA,,,TRUE,hospital,
"ERIE COUNTY JAIL, PA",ERICOPA,PA,,,,,
ERIE COUNTY MEDICAL CENTER,ECMCBNY,NY,,,TRUE,hospital,
ERO HONOLULU SUB-OFFICE HOLD ROOM,HHWHOLD,HI,,,TRUE,hold_room,
ESSEX COUNTY JAIL,ESSEXNJ,NJ,,,,,
ETOWAH COUNTY JAIL (AL),ETOWAAL,AL,,,,,
ETOWAH ERO HOLD ROOM,ETWHOLD,AL,,,TRUE,hold_room,
EUGENE HOLDROOM,EUGHOLD,OR,,,TRUE,hold_room,
EULESS CITY JAIL,EULESTX,TX,,,,,
EXTENDED STAY AMERICA,EXTSAAZ,AZ,,,,,
EXTENDED STAY AMERICA PHO AP,ESAPAAZ,AZ,,,,,
FACILITY 8 DETENTION FACILITY,FCLT8CA,CA,,,,,
FAIRBANKS CORR CTR,AKFAIRB,AK,,,,,
FAIRFAX CO JAIL,FAICOVA,VA,,,,,
